"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 26 06:03:39 UTC 2026","Fri Jun 26 06:03:39 UTC 2026","98","weather","test_weather","","","","Resolved timezone is a non-empty string for Tokyo","``timezone=auto`` should resolve to a non-empty IANA timezone string."
"passed","Fri Jun 26 06:03:39 UTC 2026","Fri Jun 26 06:03:39 UTC 2026","99","weather","test_weather","","","","Resolved timezone is a non-empty string for Nairobi","``timezone=auto`` should resolve to a non-empty IANA timezone string."
"failed","Fri Jun 26 06:03:38 UTC 2026","Fri Jun 26 06:03:38 UTC 2026","128","countries","test_countries","","","","Every inhabited country has a positive population",""
"passed","Fri Jun 26 06:03:38 UTC 2026","Fri Jun 26 06:03:38 UTC 2026","99","weather","test_weather","","","","Forecast schema and sanity for London","GET a city's hourly forecast and validate shape, timing, and coords."
"passed","Fri Jun 26 06:03:39 UTC 2026","Fri Jun 26 06:03:39 UTC 2026","98","weather","test_weather","","","","Resolved timezone is a non-empty string for Sydney","``timezone=auto`` should resolve to a non-empty IANA timezone string."
"passed","Fri Jun 26 06:03:39 UTC 2026","Fri Jun 26 06:03:39 UTC 2026","99","weather","test_weather","","","","Resolved timezone is a non-empty string for London","``timezone=auto`` should resolve to a non-empty IANA timezone string."
"failed","Fri Jun 26 06:03:37 UTC 2026","Fri Jun 26 06:03:38 UTC 2026","736","countries","test_countries","","","","Germany record matches the country schema contract",""
"failed","Fri Jun 26 06:03:38 UTC 2026","Fri Jun 26 06:03:38 UTC 2026","114","countries","test_countries","","","","A country found by name appears within its own region",""
"passed","Fri Jun 26 06:03:39 UTC 2026","Fri Jun 26 06:03:39 UTC 2026","99","weather","test_weather","","","","Resolved timezone is a non-empty string for New York","``timezone=auto`` should resolve to a non-empty IANA timezone string."
"passed","Fri Jun 26 06:03:39 UTC 2026","Fri Jun 26 06:03:39 UTC 2026","99","weather","test_weather","","","","Forecast schema and sanity for Sydney","GET a city's hourly forecast and validate shape, timing, and coords."
"failed","Fri Jun 26 06:03:36 UTC 2026","Fri Jun 26 06:03:37 UTC 2026","503","countries","test_countries","","","","Europe region returns more than the minimum number of countries",""
"passed","Fri Jun 26 06:03:38 UTC 2026","Fri Jun 26 06:03:39 UTC 2026","99","weather","test_weather","","","","Forecast schema and sanity for New York","GET a city's hourly forecast and validate shape, timing, and coords."
"passed","Fri Jun 26 06:03:39 UTC 2026","Fri Jun 26 06:03:39 UTC 2026","98","weather","test_weather","","","","Forecast schema and sanity for Nairobi","GET a city's hourly forecast and validate shape, timing, and coords."
"passed","Fri Jun 26 06:03:38 UTC 2026","Fri Jun 26 06:03:38 UTC 2026","98","weather","test_weather","","","","Forecast schema and sanity for Tokyo","GET a city's hourly forecast and validate shape, timing, and coords."
